sku,barcode,title,url_handle,price_bgn,price_eur,brand,manufacturer,category,tags,target_audience,form,description,composition,usage,contraindications,image_url,status,is_otc
3490.0,3352710009079.0,Achillea millefolium 5 ch,achillea-millefolium-5-ch,5.18,2.64,BOIRON,BOIRON* Баркод : 3352710009079,,"Лечение и здраве, Хомеопатия, Монопрепарати",Възрастни,,"ACHILLEA MILLEFOLIUM5 CH е хомеопатичен лекарствен продукт с растителен произход и е получен от бял равнец. Облекчава болезнената и обилна менструация и намалява вагиналното течение. Може да се използва и при кървене на венците, усещане за сухота в устата, кървене от носа, язви и болки в гърлото. Намира широко приложение в гинекологията, стоматологията и УНГ заболяванията.",Растителен произход - бял равнец.,Дозировката на всеки хомеопатичен продукт се определя от лекар - хомеопат строго индивидуално и съобразно естеството на заболяването и клиничните прояви.,"За избора на хомеопатично лекарство се посъветвайте с вашия хомеопат. Самолечението с хомеопатични лекарства не е желателно. Не използвайте след изтичане срока на годност. Съхранявайте на място, недостъпно за деца. Съхранявайте на сухо и прохладно място, далеч от пряка слънчева светлина.",https://benu.bg/media/cache/product_view_default/images/products/3490/3490.webp,Active,True
3491.0,3352710011126.0,Aconitum napellus 15 ch,aconitum-napellus-15-ch,5.18,2.64,BOIRON,BOIRON* Баркод : 3352710011126,,"Лечение и здраве, Хомеопатия, Монопрепарати",Възрастни,,"ACONITUM NAPELLUS 15 CH е хомеопатичен лекарствен продукт, който има благоприятно въздействие при простудни заболявания. Повлиява благоприятно функциите на нервната и сърдечно-съдовата система. Прилага се при висока температура, топлинен удар и кашлица. Препаратът е подходящ и при мъчително безпокойство, повишено кръвно налягане и невралгии. Помага при рязко повишаване на кръвното налягане, гръдна болка и кръвотечения от артериален тип.",Растителен произход - Самакитка.,Дозировката на всеки хомеопатичен продукт се определя от лекар - хомеопат строго индивидуално и съобразно естеството на заболяването и клиничните прояви.,"За избора на хомеопатично лекарство се посъветвайте с вашия хомеопат. Самолечението с хомеопатични лекарства не е желателно. Не използвайте след изтичане срока на годност. Съхранявайте на място, недостъпно за деца. Съхранявайте на сухо и прохладно място, далеч от пряка слънчева светлина.",https://benu.bg/media/cache/product_view_default/images/products/3491/3491.webp,Active,True
3492.0,3352710011133.0,Aconitum napellus 30 ch,aconitum-napellus-30-ch,5.18,2.64,BOIRON,BOIRON* Баркод : 3352710011133,,"Лечение и здраве, Хомеопатия, Монопрепарати",Възрастни,,"ACONITUM NAPELLUS 30 CH е хомеопатичен лекарствен продукт, който има благоприятно въздействие при простудни заболявания. Повлиява благоприятно функциите на нервната и сърдечно-съдовата система. Прилага се при висока температура, топлинен удар и кашлица. Препаратът е подходящ и при мъчително безпокойство, повишено кръвно налягане и невралгии. Помага при рязко повишаване на кръвното налягане, гръдна болка и кръвотечения от артериален тип.",Растителен произход - Самакитка.,Дозировката на всеки хомеопатичен продукт се определя от лекар - хомеопат строго индивидуално и съобразно естеството на заболяването и клиничните прояви.,"За избора на хомеопатично лекарство се посъветвайте с вашия хомеопат. Самолечението с хомеопатични лекарства не е желателно. Не използвайте след изтичане срока на годност. Съхранявайте на място, недостъпно за деца. Съхранявайте на сухо и прохладно място, далеч от пряка слънчева светлина.",https://benu.bg/media/cache/product_view_default/images/products/3492/3492.webp,Active,True
3440.0,3352710011102.0,Aconitum napellus 9 ch,aconitum-napellus-9-ch,5.18,2.64,BOIRON,BOIRON* Баркод : 3352710011102,,"Лечение и здраве, Хомеопатия, Монопрепарати",Възрастни,,"ACONITUM NAPELLUS 9 CH представлява хомеопатичен лекарствен продукт под формата на гранули, съдържащ самакитка, който се използва при състояния свързани с висока температура възпалителен процес в областта на ушите (отит), при треска, остра хрема (назофарингит), ангина, ларингит и бронхит. Хомеопатичният продукт е подходящ и при слънчево изгаряне или при слънчев удар. Може да се използва при неврозни състояния, при високо кръвно налягане, сърцебиене, невролгии (заболяване на някой от периферните нерви), безпокойство и при непълноценен сън. Продуктът е подходящ за жени с липсваща менструация (аменорея) или за предотвратяване на менорагия (обилна менструация). Аконитум Напелус има болкоуспокояващ ефект, той намалява болката при контузии и скованост на гърба.",Acconitum napellus 9 СН е с растителен състав - Самакитка от Семейство Ranunculaceae.,Дозировката на всеки хомеопатичен продукт се определя от лекар - хомеопат строго индивидуално и съобразно естеството на заболяването и клиничните прояви.,"Самолечението с хомеопатични лекарства не е желателно. Не превишавайте препоръчителната дневна доза. Не използвайте след изтичане срока на годност. Съхранявайте на място, недостъпно за деца. Съхранявайте на сухо и прохладно място, далеч от пряка слънчева светлина.",https://benu.bg/media/cache/product_view_default/images/products/3440/3440.webp,Active,True
3442.0,3352710013120.0,Actaea racemosa 15 ch,actaea-racemosa-15-ch,5.09,2.6,BOIRON,BOIRON* Баркод : 3352710013120,,"Лечение и здраве, Хомеопатия, Монопрепарати",Възрастни,,"ACTAEA RACEMOSA 15 CH представлява хомеопатичен лекарствен продукт под формата на гранули, специално създаден за лечебно въздействие върху нервите на главния мозък, съдовата система, слизистите обвивки, както и женските полови органи. Актеа рацемоза на Боарон е монопрепарат от Гроздовиден ресник (Черен кохош), от който се приготвя пърчина тинктура от от изсушени корени на растението. Съдържа няколко вида активни вещества, като основното е изофлавон (формононетин) с естрогенен ефект. Препоръчва се при предменструален и интерменструален синдром, дисменорея, главоболие по време на отпадното кървене, регулиране на родилния процес. Спомага при цервико-брахиални невралгии, тортиколис, невралгии в тила. Оказва благоприятно въздействие при безсъние и смущения в настроението.",Actaea racemosa 15 СН е с растителен състав - Гроздовиден ресник от Семейство Ranunculaceae.,Дозировката на всеки хомеопатичен продукт се определя от лекар - хомеопат строго индивидуално и съобразно естеството на заболяването и клиничните прояви.,"Самолечението с хомеопатични лекарства не е желателно. Не превишавайте препоръчителната дневна доза. Не използвайте след изтичане срока на годност. Съхранявайте на място, недостъпно за деца. Съхранявайте на сухо и прохладно място, далеч от пряка слънчева светлина.",https://benu.bg/media/cache/product_view_default/images/products/3442/3442.webp,Active,True
3754.0,3352710013137.0,Actaea racemosa 30ch,actaea-racemosa-30ch,5.18,2.64,BOIRON,BOIRON* Баркод : 3352710013137,,"Лечение и здраве, Хомеопатия, Монопрепарати",Възрастни,,"ACTAEA RACEMOSA 30CH е висококачествен хомеопатичен продукт, който има отлично действие за облекчаване на менструалните симптоми, сред които болка по време на менструация, и помага при болезнена овулация с кървене. Продуктът съдейства при болки в гърба, тортиколис и тендинит.",Съдържание: продуктът е с растителен състав - Гроздовиден ресник от Семейство Ranunculaceae.,Доза и начин на приложение: Лечебната доза се определя от лекуващия ви лекар или лекар-хомеопат.,"Самолечението с хомеопатични лекарства не е желателно. Не превишавайте препоръчителната дневна доза. Не използвайте след изтичане срока на годност. Съхранявайте на място, недостъпно за деца. Съхранявайте на сухо и прохладно място, далеч от пряка слънчева светлина.",https://benu.bg/media/cache/product_view_default/images/products/3754/3754.webp,Active,True
3443.0,3352710013106.0,Actaea racemosa 9 ch,actaea-racemosa-9-ch,5.18,2.64,BOIRON,BOIRON* Баркод : 3352710013106,,"Лечение и здраве, Хомеопатия, Монопрепарати",Възрастни,,"ACTAEA RACEMOSA 9 CH представлява хомеопатичен лекарствен продукт под формата на гранули, специално създаден за лечебно въздействие върху нервите на главния мозък, съдовата система, слизистите обвивки, както и женските полови органи. Актеа рацемоза на Боарон е монопрепарат от Гроздовиден ресник (Черен кохош), от който се приготвя пърчина тинктура от от изсушени корени на растението. Съдържа няколко вида активни вещества, като основното е изофлавон (формононетин) с естрогенен ефект. Препоръчва се при предменструален и интерменструален синдром, дисменорея, главоболие по време на отпадното кървене, регулиране на родилния процес. Спомага при цервико-брахиални невралгии, тортиколис, невралгии в тила. Оказва благоприятно въздействие при безсъние и смущения в настроението.",Actaea racemosa 9 СН е с растителен състав - Гроздовиден ресник от Семейство Ranunculaceae.,Дозировката на всеки хомеопатичен продукт се определя от лекар - хомеопат строго индивидуално и съобразно естеството на заболяването и клиничните прояви.,"Самолечението с хомеопатични лекарства не е желателно. Не превишавайте препоръчителната дневна доза. Не използвайте след изтичане срока на годност. Съхранявайте на място, недостъпно за деца. Съхранявайте на сухо и прохладно място, далеч от пряка слънчева светлина.",https://benu.bg/media/cache/product_view_default/images/products/3443/3443.webp,Active,True
3441.0,3352710014073.0,Actaea spicata 5 ch,actaea-spicata-5-ch,5.18,2.64,BOIRON,BOIRON* Баркод : 3352710014073,,"Лечение и здраве, Хомеопатия, Монопрепарати",Възрастни,,"ACTAEA SPICATA 5 CH представлява хомеопатичен лекарствен продукт под формата на гранули, специално създаден за лечебно въздействие при артрит и артроза на китката и пръстите. Актеа Спиката е монопрепарат на Боарон с растителен произход, получен от билката ресник. Препоръчва се за приложение при болки и скованост, протичаща с или без оток, при ставите на фалангите на пръстите.","Actaea spicata 5 CH е с растителен произход, получен от билката ресник.",Дозировката на всеки хомеопатичен продукт се определя от лекар - хомеопат строго индивидуално и съобразно естеството на заболяването и клиничните прояви.,"Самолечението с хомеопатични лекарства не е желателно. Не превишавайте препоръчителната дневна доза. Не използвайте след изтичане срока на годност. Съхранявайте на място, недостъпно за деца. Съхранявайте на сухо и прохладно място, далеч от пряка слънчева светлина.",https://benu.bg/media/cache/product_view_default/images/products/3441/3441.webp,Active,True
3444.0,3352710018071.0,Aesculus hippocastanum 5 ch,aesculus-hippocastanum-5-ch,5.18,2.64,BOIRON,BOIRON* Баркод : 3352710018071,,"Лечение и здраве, Хомеопатия, Монопрепарати",Възрастни,,"AESCULUS HIPPOCASTANUM 5 CH представлява хомеопатичен лекарствен продукт под формата на гранули от конски кестен. Ескулус Хипокастанум на Боарон е специално създаден за благоприятстване на състоянието при хемороиди, разширени вени или варикозни язви. Тинктурата от конски кестен е богата на катехинови танини с изразено хемостатично действие, много флавоноиди, протеинови производни и най-вече тритерпенови сапонини. Препоръчва се за приложение в случаите на болки в областта на ануса и ректума, като от убождане с карфици. Също така и при чувство на тежест, на пулсации.",Aesculus hyppocastanum 5 CH е с растителен произход - съдържа Индийски кестен от Семейство Hyppocastanaceae.,Дозировката на всеки хомеопатичен продукт се определя от лекар - хомеопат строго индивидуално и съобразно естеството на заболяването и клиничните прояви.,"Самолечението с хомеопатични лекарства не е желателно. Не превишавайте препоръчителната дневна доза. Не използвайте след изтичане срока на годност. Съхранявайте на място, недостъпно за деца. Съхранявайте на сухо и прохладно място, далеч от пряка слънчева светлина.",https://benu.bg/media/cache/product_view_default/images/products/3444/3444.webp,Active,True
3446.0,3352710021125.0,Agaricus muscarius 15 ch,agaricus-muscarius-15-ch,5.18,2.64,BOIRON,BOIRON* Баркод : 3352710021125,,"Лечение и здраве, Хомеопатия, Монопрепарати",Възрастни,,"AGARICUS MUSCARIUS 15 CH представлява хомеопатичен лекарствен продукт под формата на гранули, специално създаден за лечебно въздействие върху нервната система, слизестите обвивки, двигателните мускули на тялото, храносмилателните пътища. Агарикус мускариус на Боарон е монопрепарат с растителен произход, приготвен от цяла червена мухоморка в свежо състояние. Основните съставки с фармакологично или токсично действие са мускарин и мускаридин, които имат курарезиращо и парасимпатикомиметично действие. Препоръчва се при измръзване, тикове, синдром на Рейно. Монопрепаратът спомага в случаите на мускулни спазми, мравучкане, изтръпване. Оказва своето благоприятно действие при изстиване, с усещане за ледени игли.","Agaricus muscarius 15 CH е с растителен произход, приготвен от цяла Червена мухоморка в свежо състояние.",Дозировката на всеки хомеопатичен продукт се определя от лекар - хомеопат строго индивидуално и съобразно естеството на заболяването и клиничните прояви.,"Самолечението с хомеопатични лекарства не е желателно. Не превишавайте препоръчителната дневна доза. Не използвайте след изтичане срока на годност. Съхранявайте на място, недостъпно за деца. Съхранявайте на сухо и прохладно място, далеч от пряка слънчева светлина.",https://benu.bg/media/cache/product_view_default/images/products/3446/3446.webp,Active,True
